X Value ,Y Value
0,3.0
1,3.5
2,4.0
3,4.5
4,5.0
5,5.5
6,6.0
7,6.5
8,7.0
9,7.5
10,8.0
11,8.5
12,9.0
13,9.5
14,10.0
15,10.5
16,11.0
17,11.5
18,12.0
19,12.5
20,13.0
21,13.5
22,14.0
23,14.5
24,15.0
25,15.5
26,16.0
27,16.5
28,17.0
29,17.5
30,18.0
31,18.5
32,19.0
33,19.5
34,20.0
35,20.5
36,21.0
37,21.5
38,22.0
39,22.5
40,23.0
41,23.5
42,24.0
43,24.5
44,25.0
45,25.5
46,26.0
47,26.5
48,27.0
49,27.5
50,28.0
51,28.5
52,29.0
53,29.5
54,30.0
55,30.5
56,31.0
57,31.5
58,32.0
59,32.5
60,33.0
61,33.5
62,34.0
63,34.5
64,35.0
65,35.5
66,36.0
67,36.5
68,37.0
69,37.5
70,38.0
71,38.5
72,39.0
73,39.5
74,40.0
75,40.5
76,41.0
77,41.5
78,42.0
79,42.5
80,43.0
81,43.5
82,44.0
83,44.5
84,45.0
85,45.5
86,46.0
87,46.5
88,47.0
89,47.5
90,48.0
91,48.5
92,49.0
93,49.5
94,50.0
95,50.5
96,51.0
97,51.5
98,52.0
99,52.5
100,53.0
101,53.5
102,54.0
103,54.5
104,55.0
105,55.5
106,56.0
107,56.5
108,57.0
109,57.5
110,58.0
111,58.5
112,59.0
113,59.5
114,60.0
115,60.5
116,61.0
117,61.5
118,62.0
119,62.5
120,63.0
121,63.5
122,64.0
123,64.5
124,65.0
125,65.5
126,66.0
127,66.5
128,67.0
129,67.5
130,68.0
131,68.5
132,69.0
133,69.5
134,70.0
135,70.5
136,71.0
137,71.5
138,72.0
139,72.5
140,73.0
141,73.5
142,74.0
143,74.5
144,75.0
145,75.5
146,76.0
147,76.5
148,77.0
149,77.5
150,78.0
151,78.5
152,79.0
153,79.5
154,80.0
155,80.5
156,81.0
157,81.5
158,82.0
159,82.5
160,83.0
161,83.5
162,84.0
163,84.5
164,85.0
165,85.5
166,86.0
167,86.5
168,87.0
169,87.5
170,88.0
171,88.5
172,89.0
173,89.5
174,90.0
175,90.5
176,91.0
177,91.5
178,92.0
179,92.5
180,93.0
181,93.5
182,94.0
183,94.5
184,95.0
185,95.5
186,96.0
187,96.5
188,97.0
189,97.5
190,98.0
191,98.5
192,99.0
193,99.5
194,100.0
195,100.5
196,101.0
197,101.5
198,102.0
199,102.5
200,103.0
201,103.5
202,104.0
203,104.5
204,105.0
205,105.5
206,106.0
207,106.5
208,107.0
209,107.5
210,108.0
211,108.5
212,109.0
213,109.5
214,110.0
215,110.5
216,111.0
217,111.5
218,112.0
219,112.5
220,113.0
221,113.5
222,114.0
223,114.5
224,115.0
225,115.5
226,116.0
227,116.5
228,117.0
229,117.5
230,118.0
231,118.5
232,119.0
233,119.5
234,120.0
235,120.5
236,121.0
237,121.5
238,122.0
239,122.5
240,123.0
241,123.5
242,124.0
243,124.5
244,125.0
245,125.5
246,126.0
247,126.5
248,127.0
249,127.5
250,128.0
251,128.5
252,129.0
253,129.5
254,130.0
255,130.5
256,131.0
257,131.5
258,132.0
259,132.5
260,133.0
261,133.5
262,134.0
263,134.5
264,135.0
265,135.5
266,136.0
267,136.5
268,137.0
269,137.5
270,138.0
271,138.5
272,139.0
273,139.5
274,140.0
275,140.5
276,141.0
277,141.5
278,142.0
279,142.5
280,143.0
281,143.5
282,144.0
283,144.5
284,145.0
285,145.5
286,146.0
287,146.5
288,147.0
289,147.5
290,148.0
291,148.5
292,149.0
293,149.5
294,150.0
295,150.5
296,151.0
297,151.5
298,152.0
299,152.5
300,153.0
301,153.5
302,154.0
303,154.5
304,155.0
305,155.5
306,156.0
307,156.5
308,157.0
309,157.5
310,158.0
311,158.5
312,159.0
313,159.5
314,160.0
315,160.5
316,161.0
317,161.5
318,162.0
319,162.5
320,163.0
321,163.5
322,164.0
323,164.5
324,165.0
325,165.5
326,166.0
327,166.5
328,167.0
329,167.5
330,168.0
331,168.5
332,169.0
333,169.5
334,170.0
335,170.5
336,171.0
337,171.5
338,172.0
339,172.5
340,173.0
341,173.5
342,174.0
343,174.5
344,175.0
345,175.5
346,176.0
347,176.5
348,177.0
349,177.5
350,178.0
351,178.5
352,179.0
353,179.5
354,180.0
355,180.5
356,181.0
357,181.5
358,182.0
359,182.5
360,183.0
361,183.5
362,184.0
363,184.5
364,185.0
365,185.5
366,186.0
367,186.5
368,187.0
369,187.5
370,188.0
371,188.5
372,189.0
373,189.5
374,190.0
375,190.5
376,191.0
377,191.5
378,192.0
379,192.5
380,193.0
381,193.5
382,194.0
383,194.5
384,195.0
385,195.5
386,196.0
387,196.5
388,197.0
389,197.5
390,198.0
391,198.5
392,199.0
393,199.5
394,200.0
395,200.5
396,201.0
397,201.5
398,202.0
399,202.5
400,203.0
401,203.5
402,204.0
403,204.5
404,205.0
405,205.5
406,206.0
407,206.5
408,207.0
409,207.5
410,208.0
411,208.5
412,209.0
413,209.5
414,210.0
415,210.5
416,211.0
417,211.5
418,212.0
419,212.5
420,213.0
421,213.5
422,214.0
423,214.5
424,215.0
425,215.5
426,216.0
427,216.5
428,217.0
429,217.5
430,218.0
431,218.5
432,219.0
433,219.5
434,220.0
435,220.5
436,221.0
437,221.5
438,222.0
439,222.5
440,223.0
441,223.5
442,224.0
443,224.5
444,225.0
445,225.5
446,226.0
447,226.5
448,227.0
449,227.5
450,228.0
451,228.5
452,229.0
453,229.5
454,230.0
455,230.5
456,231.0
457,231.5
458,232.0
459,232.5
460,233.0
461,233.5
462,234.0
463,234.5
464,235.0
465,235.5
466,236.0
467,236.5
468,237.0
469,237.5
470,238.0
471,238.5
472,239.0
473,239.5
474,240.0
475,240.5
476,241.0
477,241.5
478,242.0
479,242.5
480,243.0
481,243.5
482,244.0
483,244.5
484,245.0
485,245.5
486,246.0
487,246.5
488,247.0
489,247.5
490,248.0
491,248.5
492,249.0
493,249.5
494,250.0
495,250.5
496,251.0
497,251.5
498,252.0
499,252.5
500,253.0
501,253.5
502,254.0
503,254.5
504,255.0
505,255.5
506,256.0
507,256.5
508,257.0
509,257.5
510,258.0
511,258.5
512,259.0
513,259.5
514,260.0
515,260.5
516,261.0
517,261.5
518,262.0
519,262.5
520,263.0
521,263.5
522,264.0
523,264.5
524,265.0
525,265.5
526,266.0
527,266.5
528,267.0
529,267.5
530,268.0
531,268.5
532,269.0
533,269.5
534,270.0
535,270.5
536,271.0
537,271.5
538,272.0
539,272.5
540,273.0
541,273.5
542,274.0
543,274.5
544,275.0
545,275.5
546,276.0
547,276.5
548,277.0
549,277.5
550,278.0
551,278.5
552,279.0
553,279.5
554,280.0
555,280.5
556,281.0
557,281.5
558,282.0
559,282.5
560,283.0
561,283.5
562,284.0
563,284.5
564,285.0
565,285.5
566,286.0
567,286.5
568,287.0
569,287.5
570,288.0
571,288.5
572,289.0
573,289.5
574,290.0
575,290.5
576,291.0
577,291.5
578,292.0
579,292.5
580,293.0
581,293.5
582,294.0
583,294.5
584,295.0
585,295.5
586,296.0
587,296.5
588,297.0
589,297.5
590,298.0
591,298.5
592,299.0
593,299.5
594,300.0
595,300.5
596,301.0
597,301.5
598,302.0
599,302.5
600,303.0
601,303.5
602,304.0
603,304.5
604,305.0
605,305.5
606,306.0
607,306.5
608,307.0
609,307.5
610,308.0
611,308.5
612,309.0
613,309.5
614,310.0
615,310.5
616,311.0
617,311.5
618,312.0
619,312.5
