ID,User Input
1,961
2,894
3,996
4,947
5,629
6,348
7,285
8,10
9,829
10,947
11,258
12,551
13,304
14,282
15,889
16,351
17,897
18,318
19,508
20,13
21,657
22,999
23,845
24,184
25,241
26,790
27,942
28,897
29,137
30,763
31,228
32,115
33,122
34,643
35,15
36,563
37,829
38,743
39,209
40,399
41,910
42,232
43,152
44,563
45,640
46,86
47,434
48,718
49,742
50,479
51,796
52,691
53,387
54,716
55,943
56,876
57,663
58,151
59,431
60,624
61,975
62,649
63,49
64,653
65,360
66,769
67,945
68,217
69,71
70,919
71,853
72,218
73,392
74,782
75,690
76,582
77,201
78,519
79,449
80,84
81,874
82,618
83,181
84,625
85,795
86,32
87,291
88,943
89,281
90,876
91,23
92,88
93,759
94,192
95,639
96,488
97,502
98,835
99,142
100,656
101,585
102,656
103,399
104,423
105,839
106,98
107,732
108,923
109,653
110,259
111,834
112,789
113,911
114,236
115,586
116,227
117,899
118,599
119,31
120,951
121,67
122,304
123,719
124,868
125,237
126,418
127,577
128,136
129,656
130,405
131,841
132,893
133,277
134,245
135,842
136,762
137,376
138,527
139,169
140,159
141,737
142,364
143,177
144,557
145,188
146,352
147,977
148,612
149,633
150,748
151,22
152,758
153,304
154,247
155,862
156,536
157,45
158,75
159,715
160,297
161,131
162,708
163,471
164,707
165,953
166,11
167,666
168,727
169,974
170,537
171,406
172,341
173,978
174,63
175,195
176,345
177,770
178,906
179,244
180,440
181,495
182,756
183,764
184,618
185,844
186,909
187,590
188,418
189,515
190,129
191,513
192,864
193,659
194,339
195,228
196,871
197,519
198,959
199,995
200,250
201,902
202,316
203,622
204,290
205,90
206,824
207,354
208,315
209,463
210,462
211,383
212,685
213,186
214,683
215,654
216,389
217,860
218,271
219,876
220,379
221,74
222,750
223,511
224,799
225,394
226,606
227,243
228,565
229,492
230,482
231,178
232,191
233,522
234,989
235,318
236,345
237,726
238,427
239,252
240,488
241,607
242,817
243,951
244,908
245,615
246,245
247,46
248,773
249,731
250,592
251,171
252,945
253,968
254,391
255,721
256,419
257,39
258,673
259,17
260,624
261,28
262,747
263,73
264,402
265,145
266,567
267,994
268,703
269,266
270,787
271,284
272,292
273,93
274,854
275,328
276,883
277,584
278,781
279,826
280,997
281,134
282,508
283,385
284,848
285,159
286,112
287,268
288,784
289,195
290,529
291,570
292,36
293,547
294,292
295,774
296,640
297,333
298,646
299,941
300,640
301,762
302,134
303,606
304,308
305,589
306,65
307,38
308,366
309,690
310,329
311,428
312,592
313,912
314,303
315,359
316,603
317,372
318,413
319,2
320,491
321,332
322,456
323,785
324,158
325,293
326,195
327,620
328,923
329,210
330,655
331,157
332,135
333,113
334,582
335,262
336,970
337,275
338,207
339,284
340,616
341,176
342,547
343,906
344,388
345,741
346,534
347,332
348,823
349,964
350,545
351,905
352,982
353,925
354,501
355,11
356,234
357,598
358,106
359,943
360,112
361,636
362,661
363,971
364,144
365,453
366,952
367,25
368,243
369,84
370,83
371,951
372,318
373,424
374,272
375,615
376,644
377,690
378,956
379,706
380,847
381,929
382,921
383,980
384,614
385,131
386,505
387,444
388,227
389,506
390,69
391,459
392,395
393,616
394,692
395,142
396,936
397,465
398,503
399,865
400,364
401,860
402,409
403,354
404,539
405,509
406,939
407,127
408,939
409,922
410,29
411,694
412,520
413,576
414,945
415,359
416,368
417,65
418,666
419,527
420,717
421,564
422,234
423,316
424,809
425,282
426,896
427,488
428,411
429,96
430,504
431,900
432,367
433,374
434,341
435,978
436,612
437,747
438,154
439,823
440,967
441,482
442,262
443,219
444,230
445,205
446,405
447,718
448,590
449,372
450,251
451,897
452,109
453,330
454,451
455,990
456,684
457,109
458,214
459,286
460,76
461,80
462,256
463,389
464,410
465,854
466,660
467,91
468,533
469,197
470,535
471,169
472,371
473,925
474,426
475,262
476,387
477,452
478,417
479,606
480,574
481,807
482,832
483,118
484,495
485,686
486,997
487,822
488,705
489,709
490,721
491,379
492,192
493,83
494,873
495,80
496,391
497,961
498,745
499,104
500,929
501,968
502,135
503,403
504,251
505,199
506,133
507,131
508,638
509,472
510,504
511,673
512,106
513,590
514,742
515,481
516,886
517,526
518,844
519,399
520,541
521,558
522,301
523,228
524,34
525,614
526,247
527,905
528,668
529,498
530,672
531,871
532,180
533,721
534,62
535,120
536,843
537,613
538,411
539,45
540,449
541,903
542,767
543,469
544,24
545,646
546,632
547,543
548,751
549,892
550,516
551,765
552,266
553,541
554,879
555,29
556,623
557,909
558,696
559,260
560,715
561,405
562,397
563,257
564,67
565,266
566,447
567,268
568,439
569,178
570,753
571,113
572,320
573,67
574,130
575,837
576,274
577,794
578,962
579,964
580,213
581,893
582,17
583,588
584,238
585,894
586,738
587,881
588,626
589,684
590,910
591,694
592,234
593,191
594,597
595,125
596,737
597,832
598,88
599,235
600,259
601,675
602,458
603,875
604,488
605,738
606,789
607,581
608,334
609,183
610,296
611,251
612,669
613,317
614,302
615,40
616,883
617,852
618,402
619,213
620,320
621,463
622,302
623,881
624,204
625,348
626,875
627,525
628,316
629,311
630,131
631,449
632,435
633,683
634,802
635,630
636,949
637,366
638,683
639,273
640,135
641,784
642,63
643,697
644,306
645,776
646,104
647,509
648,759
649,995
650,195
651,309
652,20
653,10
654,172
655,363
656,28
657,798
658,52
659,597
660,197
661,875
662,973
663,723
664,483
665,518
666,502
667,519
668,218
669,757
670,873
671,198
672,456
673,721
674,642
675,217
676,985
677,442
678,3
679,448
680,468
681,520
682,10
683,204
684,35
685,801
686,284
687,47
688,576
689,387
690,874
691,395
692,970
693,576
694,906
695,755
696,183
697,953
698,1
699,978
700,763
701,209
702,235
703,270
704,311
705,903
706,453
707,793
708,893
709,127
710,570
711,868
712,496
713,982
714,626
715,167
716,736
717,303
718,545
719,401
720,475
721,47
722,219
723,401
724,207
725,962
726,381
727,679
728,819
729,487
730,295
731,466
732,526
733,863
734,61
735,95
736,607
737,357
738,373
739,402
740,339
741,435
742,339
743,325
744,957
745,25
746,607
747,306
748,984
749,426
750,336
751,246
752,840
753,765
754,306
755,36
756,823
757,788
758,379
759,282
760,899
761,997
762,156
763,52
764,812
765,699
766,35
767,164
768,44
769,296
770,557
771,507
772,431
773,129
774,80
775,383
